club_name,league,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years,true_pd,defaulted
Royal Ardennes FC,Belgian Pro League,168.0,0.736,-11.2,0.625,-6.8,12.75,2.23,0.604,0.392,11.9,0.1212,0
SC Lindehoven,Eredivisie,95.2,0.652,-6.9,0.74,-3.1,-8.6,6.55,0.484,0.573,6.3,0.0373,0
RKC Zandvoort-Noord,Eredivisie,63.6,0.848,20.5,0.725,29.5,1.27,-7.29,0.349,0.059,0.4,0.5237,1
KV Scheldebrug,Belgian Pro League,146.9,0.886,38.4,0.681,45.0,-7.96,8.2,0.349,0.644,4.2,0.0017,0
FC Waldkirchen,Bundesliga,57.4,1.021,-23.0,0.807,9.7,11.98,-2.82,0.638,0.945,8.1,0.2248,0
AFC Kanaalstad,Eredivisie,104.1,0.568,-16.7,0.266,5.2,-9.27,-1.49,0.227,0.676,2.7,0.0084,0
RKC Zandvoort-Noord,Eredivisie,159.7,1.021,6.6,0.626,31.5,-10.38,7.89,0.671,0.465,11.6,0.1124,0
RFC Lysveld,Belgian Pro League,191.1,0.867,-3.4,0.782,2.9,-14.64,7.93,0.364,0.961,5.1,0.0834,0
KV Scheldebrug,Belgian Pro League,156.0,0.665,27.8,0.549,53.1,-9.54,0.5,0.569,0.689,0.3,0.0025,0
RFC Lysveld,Belgian Pro League,77.0,0.66,-13.8,0.367,27.3,-9.31,-4.46,0.365,0.057,6.5,0.1122,0
SV Rheinfelden,Bundesliga,114.5,0.69,31.0,0.845,6.6,-12.68,-6.56,0.677,0.67,8.1,0.0306,0
FC Walloon Rovers,Belgian Pro League,41.8,1.025,32.4,0.359,12.1,11.03,-4.57,0.218,0.06,5.5,0.389,0
FC Walloon Rovers,Belgian Pro League,113.8,0.688,55.8,0.421,12.8,8.4,5.61,0.377,0.307,11.1,0.0032,0
SV Rheinfelden,Bundesliga,111.3,0.778,53.8,0.318,36.7,-7.37,-3.51,0.634,0.616,10.8,0.0047,0
Sparta Veenendaal,Eredivisie,220.5,0.854,14.7,0.443,-6.1,8.5,3.89,0.337,0.216,1.7,0.4013,0
KVC Houtland,Belgian Pro League,118.8,0.988,-16.1,0.472,34.9,-2.34,-6.1,0.338,0.038,1.0,0.5526,0
SV Rheinfelden,Bundesliga,78.8,0.895,2.3,0.541,32.3,8.27,-0.43,0.649,0.618,3.7,0.0529,0
Borussia Talheim,Bundesliga,153.7,0.91,40.3,0.778,37.5,-5.31,-2.96,0.615,0.286,7.3,0.1551,0
FC Walloon Rovers,Belgian Pro League,103.6,0.631,-15.5,0.518,48.1,1.94,0.07,0.253,0.533,7.2,0.0031,0
FC Hertenbos,Eredivisie,165.8,0.969,14.9,0.506,-2.2,-3.55,1.4,0.49,0.261,3.3,0.7446,1
Union Kempen,Belgian Pro League,118.0,0.678,4.5,0.771,24.2,-9.37,9.82,0.312,0.686,11.4,0.0087,0
VV Polderkamp,Eredivisie,141.9,0.59,1.3,0.714,46.7,2.57,8.0,0.308,0.896,3.7,0.0008,0
Olympia Dollard,Eredivisie,106.9,1.047,34.6,0.364,4.3,7.52,3.92,0.508,0.087,9.7,0.5674,1
FC Waldkirchen,Bundesliga,126.0,0.636,33.2,0.208,-2.1,7.59,-6.93,0.262,0.786,10.0,0.0003,0
Borussia Talheim,Bundesliga,115.5,0.607,22.5,0.608,12.7,-4.31,8.38,0.435,0.156,1.2,0.1771,1
RKC Zandvoort-Noord,Eredivisie,169.5,0.836,57.7,0.715,2.6,0.56,7.85,0.328,0.329,2.8,0.0157,0
Union Kempen,Belgian Pro League,51.8,0.731,-18.3,0.596,43.6,7.91,7.73,0.627,0.357,2.6,0.0559,0
SpVgg Lindenau,Bundesliga,119.4,0.603,-6.8,0.338,23.1,-13.37,-0.42,0.477,0.206,11.0,0.0357,0
KV Scheldebrug,Belgian Pro League,128.8,0.842,12.4,0.672,28.9,-12.84,-6.59,0.308,0.075,4.2,0.7004,0
Royal Ardennes FC,Belgian Pro League,230.8,0.877,45.3,0.568,44.6,-3.71,5.09,0.663,0.768,10.0,0.0007,0
SpVgg Lindenau,Bundesliga,184.3,0.916,34.3,0.528,3.6,-8.3,-2.23,0.611,0.794,5.7,0.1,0
SpVgg Lindenau,Bundesliga,102.7,0.622,-14.6,0.765,40.4,-3.76,-3.11,0.333,0.997,5.5,0.0045,0
SpVgg Lindenau,Bundesliga,238.3,0.768,69.5,0.637,-8.4,-12.19,-2.18,0.681,0.935,10.8,0.0015,0
Royal Ardennes FC,Belgian Pro League,136.6,0.949,7.2,0.621,-9.1,2.76,1.18,0.334,0.435,5.3,0.4218,0
FC Walloon Rovers,Belgian Pro League,184.3,0.587,17.0,0.592,5.5,5.15,-3.33,0.346,0.133,8.9,0.0649,0
Sparta Veenendaal,Eredivisie,186.5,0.611,37.6,0.589,13.8,8.76,3.8,0.393,0.011,5.1,0.0153,0
SC Eichberg,Bundesliga,240.4,0.479,68.7,0.47,23.3,4.52,2.95,0.282,0.532,1.2,0.0013,0
Sparta Veenendaal,Eredivisie,141.3,0.796,35.3,0.488,18.0,-3.11,0.18,0.544,0.861,0.6,0.0081,0
Sparta Veenendaal,Eredivisie,214.4,0.591,66.4,0.603,10.4,13.05,-8.92,0.479,0.268,2.5,0.0327,0
FC Walloon Rovers,Belgian Pro League,84.6,0.927,-7.9,0.614,-10.7,6.79,8.73,0.647,0.199,8.7,0.9239,1
Borussia Talheim,Bundesliga,209.6,0.992,40.0,0.465,24.0,0.83,-1.77,0.32,0.439,4.5,0.0454,1
KV Scheldebrug,Belgian Pro League,159.5,0.624,50.3,0.261,-3.9,-8.79,-1.01,0.285,0.894,5.4,0.0003,0
Royal Ardennes FC,Belgian Pro League,142.5,0.861,23.6,0.639,35.9,4.47,-0.88,0.379,0.452,1.2,0.0071,0
AFC Kanaalstad,Eredivisie,103.7,0.651,7.8,0.626,49.6,2.75,-2.7,0.273,0.723,7.5,0.0013,0
Borussia Talheim,Bundesliga,221.1,0.496,69.5,0.364,41.2,5.5,3.49,0.673,0.463,9.6,0.0012,0
Sparta Veenendaal,Eredivisie,148.4,0.915,-4.0,0.415,21.5,8.43,-9.72,0.559,0.373,7.5,0.1089,0
Olympia Dollard,Eredivisie,144.9,0.748,16.4,0.347,30.3,12.45,7.47,0.598,0.441,11.8,0.0016,0
Sparta Veenendaal,Eredivisie,128.4,1.022,50.0,0.814,21.5,13.47,-7.95,0.574,0.768,0.2,0.0323,0
SpVgg Lindenau,Bundesliga,33.9,0.851,41.0,0.803,43.6,3.91,9.99,0.321,0.754,0.2,0.0018,0
VV Polderkamp,Eredivisie,204.3,0.576,67.2,0.514,54.0,13.98,2.56,0.27,0.432,6.0,0.0006,0
TSV Mooshausen,Bundesliga,72.8,0.789,44.4,0.487,15.2,12.34,-8.68,0.415,0.268,3.2,0.0228,0
Olympia Dollard,Eredivisie,210.0,0.597,-3.7,0.623,32.5,-14.92,1.25,0.615,0.139,8.2,0.0975,0
KVC Houtland,Belgian Pro League,196.6,0.955,62.4,0.497,32.6,4.13,-3.37,0.365,0.001,9.5,0.2062,0
SK Meerhout,Belgian Pro League,141.4,0.883,17.3,0.815,-13.3,-9.65,9.06,0.205,0.113,1.2,0.9301,1
SV Rheinfelden,Bundesliga,63.4,0.737,25.3,0.27,22.8,-6.14,5.11,0.53,0.165,11.0,0.0149,0
Olympia Dollard,Eredivisie,57.1,0.837,4.7,0.261,27.3,-6.07,0.14,0.3,0.69,0.4,0.0148,0
Royal Ardennes FC,Belgian Pro League,140.2,0.872,46.8,0.555,30.0,-0.51,-1.4,0.471,0.818,8.3,0.0009,0
SpVgg Lindenau,Bundesliga,130.8,0.936,27.4,0.327,7.2,-14.67,9.92,0.207,0.737,4.6,0.0213,0
VfL Donaustein,Bundesliga,47.5,0.609,38.3,0.631,12.8,-7.93,3.35,0.454,0.723,8.0,0.0017,0
SC Lindehoven,Eredivisie,126.9,0.542,-2.5,0.699,8.1,-14.13,0.28,0.397,0.994,1.2,0.0082,0
SC Lindehoven,Eredivisie,53.6,0.624,-11.8,0.329,28.1,4.52,-2.04,0.64,0.963,11.2,0.0001,0
SpVgg Lindenau,Bundesliga,89.5,0.753,12.1,0.502,45.8,11.68,-3.51,0.561,0.269,11.2,0.011,0
Borussia Talheim,Bundesliga,144.7,0.765,-14.9,0.629,44.1,14.93,4.11,0.218,0.145,6.2,0.0871,0
RFC Lysveld,Belgian Pro League,48.2,0.638,26.7,0.778,15.8,-1.54,1.76,0.595,0.153,6.1,0.1248,0
AFC Kanaalstad,Eredivisie,74.4,0.769,-0.8,0.547,5.7,-7.2,6.96,0.596,0.896,7.6,0.0171,0
Sparta Veenendaal,Eredivisie,106.2,0.77,23.1,0.343,37.5,10.59,1.07,0.532,0.102,7.0,0.0405,0
SK Meerhout,Belgian Pro League,160.7,0.571,-8.0,0.555,39.8,-11.61,1.65,0.665,0.34,6.5,0.0273,0
KVC Houtland,Belgian Pro League,126.1,1.007,-4.3,0.49,13.2,14.23,-0.45,0.602,0.53,7.1,0.2539,1
Royal Ardennes FC,Belgian Pro League,65.7,0.87,23.3,0.728,10.4,6.45,5.25,0.309,0.613,10.3,0.012,0
AFC Kanaalstad,Eredivisie,123.3,0.734,5.7,0.557,-1.3,0.12,-1.7,0.391,0.596,7.3,0.0352,0
SC Lindehoven,Eredivisie,147.5,0.784,1.6,0.366,36.8,-12.1,7.04,0.375,0.786,2.4,0.0027,0
Union Kempen,Belgian Pro League,77.4,0.717,-5.6,0.71,28.8,-14.45,-3.46,0.452,0.572,11.0,0.0385,0
Borussia Talheim,Bundesliga,126.5,0.975,-0.9,0.531,6.5,1.34,3.85,0.677,0.851,2.6,0.1445,0
Borussia Talheim,Bundesliga,231.6,0.781,42.9,0.253,44.9,-2.58,7.86,0.508,0.085,2.0,0.0108,0
KVC Houtland,Belgian Pro League,74.2,0.812,-10.7,0.589,28.4,10.28,5.38,0.356,0.859,12.0,0.0014,0
RKC Zandvoort-Noord,Eredivisie,185.5,0.977,17.4,0.772,39.5,4.27,-3.15,0.671,0.59,2.6,0.1433,1
FC Hertenbos,Eredivisie,247.1,0.91,49.7,0.582,14.3,-2.04,4.13,0.55,0.223,1.2,0.1343,0
KV Scheldebrug,Belgian Pro League,79.1,0.975,16.5,0.417,11.1,-8.22,-5.86,0.333,0.978,6.7,0.0102,0
Union Kempen,Belgian Pro League,77.4,0.671,22.8,0.682,49.4,-0.59,-8.84,0.653,0.94,9.9,0.002,0
SV Rheinfelden,Bundesliga,198.3,0.577,10.3,0.339,53.7,-10.11,5.83,0.372,0.846,0.7,0.0003,0
VV Polderkamp,Eredivisie,86.1,0.908,49.6,0.57,43.5,5.01,6.16,0.458,0.912,5.9,0.0001,0
SC Lindehoven,Eredivisie,66.8,0.802,7.4,0.57,38.3,3.17,-9.54,0.44,0.382,0.8,0.146,0
AFC Kanaalstad,Eredivisie,76.8,0.909,-1.2,0.386,13.6,9.3,8.96,0.662,0.228,5.1,0.1215,0
SV Rheinfelden,Bundesliga,219.5,0.883,63.1,0.369,-0.7,-1.51,-1.08,0.333,0.183,4.1,0.0921,0
SC Eichberg,Bundesliga,59.0,0.715,25.0,0.841,14.8,-6.64,8.11,0.367,0.874,1.6,0.0011,0
Borussia Talheim,Bundesliga,49.0,0.715,20.7,0.404,48.2,10.09,5.76,0.53,0.827,11.2,0.0002,0
RKC Zandvoort-Noord,Eredivisie,116.3,0.791,49.6,0.718,11.3,5.73,8.01,0.643,0.981,7.6,0.0004,0
KV Scheldebrug,Belgian Pro League,223.2,0.628,-1.5,0.571,39.9,6.2,6.67,0.257,0.848,10.1,0.0002,0
Union Kempen,Belgian Pro League,152.2,0.866,50.1,0.525,42.6,0.84,9.48,0.305,0.632,10.9,0.0008,0
RKC Zandvoort-Noord,Eredivisie,145.8,0.91,37.0,0.276,44.1,11.28,2.58,0.674,0.142,11.2,0.02,0
KV Scheldebrug,Belgian Pro League,244.1,0.721,24.1,0.263,48.5,-8.17,-5.45,0.589,0.165,9.0,0.0112,0
VfL Donaustein,Bundesliga,89.2,0.924,-2.1,0.335,18.7,-2.95,-2.21,0.373,0.474,3.7,0.1288,0
KV Scheldebrug,Belgian Pro League,152.6,0.784,-6.3,0.56,19.2,8.89,5.04,0.379,0.768,9.9,0.0138,0
AFC Kanaalstad,Eredivisie,74.5,0.925,48.9,0.852,44.6,-11.01,-6.86,0.435,0.173,6.2,0.3091,1
KV Scheldebrug,Belgian Pro League,132.2,0.645,-5.9,0.757,7.1,9.24,8.6,0.537,0.916,3.3,0.0109,0
Royal Ardennes FC,Belgian Pro League,163.9,0.897,6.9,0.194,-2.5,-4.42,-5.89,0.481,0.684,4.6,0.0584,0
KV Scheldebrug,Belgian Pro League,139.9,0.896,37.3,0.367,44.1,-11.23,7.52,0.588,0.312,3.6,0.0145,0
KAS Dendermonde-West,Belgian Pro League,144.5,0.661,39.4,0.29,34.9,-12.63,-0.33,0.227,0.886,5.6,0.0002,0
Royal Ardennes FC,Belgian Pro League,80.8,0.841,-10.5,0.85,20.2,10.29,6.81,0.61,0.599,9.4,0.1542,0
KVC Houtland,Belgian Pro League,69.0,1.002,38.5,0.383,-9.1,8.36,9.17,0.229,0.733,5.8,0.012,0
KV Scheldebrug,Belgian Pro League,71.6,0.686,15.4,0.359,23.5,-6.36,-1.56,0.64,0.385,3.2,0.0153,0
TSV Mooshausen,Bundesliga,236.5,0.862,60.8,0.534,44.0,-11.51,3.93,0.222,0.394,1.0,0.003,0
KAS Dendermonde-West,Belgian Pro League,97.9,1.04,-14.1,0.571,18.0,-7.58,-5.47,0.264,0.013,10.3,0.9376,1
KV Scheldebrug,Belgian Pro League,84.5,1.001,-19.1,0.368,7.3,-8.61,6.02,0.29,0.538,5.0,0.197,1
VfL Donaustein,Bundesliga,183.7,0.713,38.3,0.595,25.0,6.99,6.4,0.312,0.761,5.3,0.0004,0
VfL Donaustein,Bundesliga,96.5,0.86,-9.4,0.278,40.5,-8.53,-4.1,0.401,0.969,9.2,0.0012,0
SV Rheinfelden,Bundesliga,99.3,1.059,19.8,0.227,36.0,-8.52,-9.52,0.528,0.892,10.2,0.0027,0
FC Nordhafen,Bundesliga,108.8,0.834,-18.4,0.262,12.2,-14.03,-1.38,0.646,0.087,6.1,0.3412,0
Borussia Talheim,Bundesliga,136.5,0.586,43.8,0.427,32.3,2.91,-6.6,0.462,0.981,7.6,0.0002,0
VV Polderkamp,Eredivisie,178.3,0.53,57.9,0.794,14.3,5.67,6.37,0.466,0.149,2.9,0.0171,0
TSV Mooshausen,Bundesliga,79.5,0.963,41.6,0.576,11.3,4.6,-4.78,0.36,0.041,11.2,0.334,0
FC Walloon Rovers,Belgian Pro League,230.7,0.702,68.6,0.623,5.4,2.06,8.87,0.6,0.749,6.8,0.0007,0
Olympia Dollard,Eredivisie,155.9,0.645,55.6,0.388,25.9,13.98,9.44,0.255,0.906,8.6,0.0,0
KV Scheldebrug,Belgian Pro League,97.8,0.725,13.4,0.676,26.2,-0.82,8.18,0.351,0.95,1.4,0.0013,0
FC Waldkirchen,Bundesliga,217.9,0.882,24.0,0.765,7.0,10.8,1.99,0.248,0.825,7.6,0.0135,0
FC Hertenbos,Eredivisie,198.0,0.739,60.0,0.387,7.4,4.38,-4.65,0.307,0.205,4.4,0.0442,0
FC Waldkirchen,Bundesliga,183.1,0.956,60.6,0.806,-6.5,-12.48,6.15,0.493,0.154,5.4,0.6885,1
KVC Houtland,Belgian Pro League,271.6,0.845,74.6,0.525,-3.8,9.3,4.03,0.263,0.059,8.2,0.0838,0
FC Maasdijk,Eredivisie,199.5,1.003,50.3,0.637,25.7,2.53,9.54,0.25,0.582,9.6,0.0031,0
KV Scheldebrug,Belgian Pro League,150.1,0.982,0.9,0.347,-3.1,4.61,-2.45,0.613,0.487,4.2,0.4392,0
RFC Lysveld,Belgian Pro League,192.5,0.632,63.1,0.573,1.5,-9.59,-8.82,0.259,0.109,10.5,0.0642,0
Sparta Veenendaal,Eredivisie,207.0,0.836,65.0,0.48,48.1,-1.88,9.97,0.504,0.465,2.6,0.0024,0
SK Meerhout,Belgian Pro League,40.1,0.581,23.7,0.861,11.6,11.42,6.77,0.376,0.567,6.8,0.003,0
SpVgg Lindenau,Bundesliga,41.7,1.085,38.6,0.827,34.2,-8.54,-5.57,0.648,0.723,1.8,0.2052,0
SV Rheinfelden,Bundesliga,66.8,0.694,18.7,0.487,29.0,-15.0,4.51,0.554,0.414,3.5,0.0101,0
Sparta Veenendaal,Eredivisie,182.8,0.85,61.9,0.773,30.6,-7.27,-9.99,0.23,0.318,10.7,0.0226,0
FC Walloon Rovers,Belgian Pro League,101.4,0.984,-13.2,0.78,17.2,-0.37,1.16,0.648,0.666,0.1,0.5964,0
Sparta Veenendaal,Eredivisie,51.4,0.649,40.2,0.62,4.7,9.64,-2.74,0.407,0.684,11.0,0.0008,0
FC Walloon Rovers,Belgian Pro League,93.6,0.987,-17.1,0.27,34.3,4.3,-2.37,0.349,0.27,3.9,0.0667,0
SpVgg Lindenau,Bundesliga,141.1,0.53,10.4,0.294,47.2,12.57,-5.11,0.536,0.02,8.3,0.0147,0
KAS Dendermonde-West,Belgian Pro League,173.9,0.738,-1.4,0.221,12.1,-1.33,-4.5,0.559,0.946,1.1,0.0006,0
Olympia Dollard,Eredivisie,85.4,0.795,14.6,0.292,35.2,-3.28,-0.91,0.352,0.755,7.7,0.0008,0
AFC Kanaalstad,Eredivisie,153.7,0.712,3.6,0.809,24.5,-8.06,-5.04,0.376,0.201,10.9,0.146,0
SpVgg Lindenau,Bundesliga,151.5,0.824,58.8,0.321,43.0,-8.46,-0.67,0.278,0.566,6.7,0.0053,0
SV Rheinfelden,Bundesliga,240.2,0.953,39.0,0.576,32.7,7.08,1.55,0.497,0.595,4.3,0.0128,0
VfL Donaustein,Bundesliga,138.7,0.695,53.1,0.6,-5.1,-12.59,4.22,0.678,0.126,9.5,0.117,0
TSV Mooshausen,Bundesliga,288.4,0.757,23.0,0.511,43.3,-7.72,3.54,0.408,0.192,8.6,0.0261,0
Olympia Dollard,Eredivisie,115.6,0.992,-16.7,0.338,41.4,11.58,-5.16,0.698,0.957,1.4,0.0055,0
Royal Ardennes FC,Belgian Pro League,104.6,0.943,39.7,0.582,29.4,2.31,-9.22,0.288,0.508,8.0,0.0539,0
SC Eichberg,Bundesliga,176.0,0.529,42.5,0.571,4.8,-13.6,6.65,0.598,0.191,8.0,0.0085,0
SpVgg Lindenau,Bundesliga,214.5,0.98,34.9,0.514,32.1,6.13,7.45,0.664,0.798,9.0,0.0056,0
KV Scheldebrug,Belgian Pro League,66.2,0.583,38.2,0.353,34.8,0.2,9.58,0.544,0.471,3.8,0.0023,0
KV Scheldebrug,Belgian Pro League,81.1,0.858,41.9,0.688,7.8,10.64,9.19,0.255,0.638,4.8,0.0065,0
Olympia Dollard,Eredivisie,139.0,0.824,29.3,0.239,41.5,5.47,2.68,0.363,0.298,11.5,0.0026,0
SK Meerhout,Belgian Pro League,174.4,0.917,62.6,0.55,19.6,-14.87,7.89,0.243,0.058,6.9,0.0221,0
RKC Zandvoort-Noord,Eredivisie,60.7,0.638,30.2,0.516,45.4,-8.83,-1.04,0.501,0.165,6.1,0.0132,0
FC Walloon Rovers,Belgian Pro League,138.0,0.618,36.0,0.353,35.0,-7.26,5.75,0.699,0.973,11.8,0.0001,0
RFC Lysveld,Belgian Pro League,228.7,0.874,22.4,0.657,4.3,6.07,9.11,0.387,0.624,2.8,0.0746,0
VfL Donaustein,Bundesliga,142.3,0.601,-15.4,0.303,53.9,0.28,5.93,0.281,0.831,4.8,0.0002,0
Sparta Veenendaal,Eredivisie,154.8,0.762,4.4,0.78,24.7,7.42,-1.68,0.334,0.022,9.1,0.3782,0
Union Kempen,Belgian Pro League,273.0,0.843,58.6,0.682,18.9,0.39,-2.44,0.485,0.765,8.6,0.0106,0
VfL Donaustein,Bundesliga,165.6,0.851,41.8,0.408,11.9,-5.18,-4.17,0.484,0.485,11.6,0.0483,0
RFC Lysveld,Belgian Pro League,181.2,0.615,14.5,0.363,3.1,-11.89,-2.66,0.315,0.665,7.9,0.003,0
AFC Kanaalstad,Eredivisie,219.6,0.645,41.7,0.234,35.2,-8.92,6.41,0.575,0.358,3.8,0.013,0
SV Rheinfelden,Bundesliga,170.7,1.014,2.8,0.76,8.5,-2.98,4.03,0.244,0.621,4.8,0.2608,1
Olympia Dollard,Eredivisie,118.3,0.768,1.9,0.605,46.3,1.54,-5.0,0.512,0.036,1.1,0.1612,1
RFC Lysveld,Belgian Pro League,179.1,0.529,61.7,0.189,55.5,13.16,4.23,0.413,0.046,11.1,0.0009,0
Borussia Talheim,Bundesliga,149.0,0.634,17.0,0.513,40.4,-7.81,-2.41,0.264,0.799,1.5,0.001,0
FC Maasdijk,Eredivisie,130.7,0.707,1.9,0.252,6.7,4.98,1.16,0.517,0.124,6.5,0.0369,0
FC Nordhafen,Bundesliga,187.4,1.022,27.2,0.532,25.4,-10.42,-2.59,0.537,0.014,4.8,0.8356,1
VV Polderkamp,Eredivisie,36.3,0.73,1.7,0.576,-7.4,6.41,0.43,0.42,0.912,1.6,0.0102,0
TSV Mooshausen,Bundesliga,142.0,0.537,40.6,0.243,46.9,-14.66,4.6,0.599,0.266,3.5,0.0053,0
KVC Houtland,Belgian Pro League,147.0,0.788,59.0,0.71,19.2,4.68,4.62,0.455,0.582,7.6,0.0029,0
TSV Mooshausen,Bundesliga,137.7,0.569,29.4,0.361,52.5,-10.1,5.06,0.343,0.839,0.4,0.0001,0
TSV Mooshausen,Bundesliga,114.4,0.679,26.6,0.553,15.6,-9.59,-2.18,0.677,0.746,11.6,0.0018,0
AFC Kanaalstad,Eredivisie,113.0,1.053,9.0,0.616,-2.8,1.77,3.81,0.672,0.047,10.9,0.9417,1
Borussia Talheim,Bundesliga,85.1,0.916,21.2,0.839,45.4,-3.74,-5.23,0.248,0.561,1.0,0.0374,0
FC Walloon Rovers,Belgian Pro League,154.4,0.544,10.4,0.499,28.9,-0.86,-0.45,0.673,0.542,10.4,0.0035,0
FC Walloon Rovers,Belgian Pro League,113.7,0.77,-18.9,0.794,42.0,-5.73,1.66,0.588,0.35,3.9,0.578,1
KVC Houtland,Belgian Pro League,36.5,0.662,38.6,0.478,48.2,13.6,3.73,0.253,0.754,0.8,0.0002,0
SV Rheinfelden,Bundesliga,195.8,0.562,23.8,0.708,27.7,-6.28,8.24,0.46,0.964,3.7,0.0002,0
SC Lindehoven,Eredivisie,185.8,0.808,27.4,0.316,16.3,1.26,-3.9,0.217,0.147,9.7,0.0313,0
RKC Zandvoort-Noord,Eredivisie,145.3,0.785,-8.8,0.641,22.9,10.63,6.91,0.494,0.145,8.0,0.3747,0
RKC Zandvoort-Noord,Eredivisie,101.5,0.928,44.1,0.27,36.1,4.93,-3.78,0.667,0.735,2.9,0.0089,0
SC Lindehoven,Eredivisie,163.3,0.977,-0.0,0.809,41.6,-5.32,1.04,0.384,0.454,8.6,0.2497,0
Royal Ardennes FC,Belgian Pro League,132.1,0.656,14.8,0.806,13.4,1.57,6.56,0.454,0.795,8.5,0.0016,0
SC Eichberg,Bundesliga,75.4,1.034,41.2,0.511,26.3,-12.51,4.46,0.314,0.141,8.9,0.2624,0
Royal Ardennes FC,Belgian Pro League,103.3,0.811,15.1,0.548,6.0,1.37,7.26,0.47,0.04,6.5,0.3709,1
Sparta Veenendaal,Eredivisie,73.6,0.69,48.0,0.612,29.3,-2.06,6.3,0.601,0.698,9.8,0.0008,0
KV Scheldebrug,Belgian Pro League,114.8,0.976,-2.7,0.382,32.1,7.74,-4.47,0.308,0.995,7.7,0.0013,0
SC Lindehoven,Eredivisie,89.6,0.566,33.3,0.652,49.6,10.44,9.86,0.477,0.095,1.5,0.0088,0
Royal Ardennes FC,Belgian Pro League,214.8,0.78,68.3,0.596,16.8,-9.01,8.74,0.377,0.864,9.7,0.0003,0
RFC Lysveld,Belgian Pro League,116.8,0.91,23.7,0.541,8.0,-12.55,-1.4,0.574,0.385,3.9,0.2563,1
FC Hertenbos,Eredivisie,47.3,0.713,26.5,0.339,7.1,-3.28,-9.06,0.551,0.017,8.5,0.3797,1
Olympia Dollard,Eredivisie,151.7,0.968,15.8,0.773,-7.9,1.02,-3.93,0.549,0.51,8.1,0.8256,1
TSV Mooshausen,Bundesliga,169.4,0.636,45.5,0.248,16.2,-3.7,6.72,0.389,0.279,4.0,0.0044,0
VfL Donaustein,Bundesliga,192.7,0.937,60.3,0.564,37.3,3.86,9.02,0.5,0.693,1.9,0.0021,0
SC Eichberg,Bundesliga,77.9,0.594,31.0,0.293,20.7,0.17,6.63,0.526,0.288,8.3,0.0044,0
FC Maasdijk,Eredivisie,140.4,0.607,56.3,0.285,14.2,13.1,-2.07,0.54,0.482,10.2,0.004,0
FC Waldkirchen,Bundesliga,51.6,0.763,19.1,0.255,34.7,-2.72,-8.87,0.488,0.201,10.1,0.0444,0
SC Eichberg,Bundesliga,39.8,1.015,16.8,0.481,-4.4,-12.53,0.35,0.633,0.828,7.5,0.3141,1
FC Nordhafen,Bundesliga,154.6,0.593,9.3,0.592,11.0,-5.94,-2.47,0.324,0.925,2.7,0.0026,0
SpVgg Lindenau,Bundesliga,111.7,0.993,35.4,0.541,39.5,3.18,-7.54,0.228,0.403,3.8,0.0328,0
SpVgg Lindenau,Bundesliga,238.5,0.598,63.7,0.567,0.3,-7.32,-7.88,0.681,0.449,9.1,0.0257,0
TSV Mooshausen,Bundesliga,87.1,0.784,27.7,0.654,14.6,-6.93,-6.94,0.23,0.983,4.9,0.0067,0
SC Eichberg,Bundesliga,139.3,0.708,2.0,0.282,26.7,-4.81,-5.88,0.651,0.142,8.8,0.0388,0
SV Rheinfelden,Bundesliga,157.6,0.578,28.1,0.218,9.9,7.38,5.08,0.506,0.809,3.7,0.0003,0
FC Hertenbos,Eredivisie,85.6,1.041,35.9,0.623,-1.3,13.2,-2.37,0.659,0.567,0.1,0.5747,0
Olympia Dollard,Eredivisie,141.0,0.752,56.6,0.609,4.0,-4.49,-1.26,0.482,0.881,7.2,0.0006,0
TSV Mooshausen,Bundesliga,99.5,0.902,-8.6,0.571,6.8,-9.14,1.97,0.611,0.292,7.2,0.5373,1
FC Maasdijk,Eredivisie,176.7,0.806,-1.7,0.328,42.9,-2.38,9.2,0.561,0.296,7.5,0.0115,0
RKC Zandvoort-Noord,Eredivisie,128.9,0.79,14.6,0.717,15.4,-4.44,5.13,0.463,0.326,3.2,0.066,0
FC Maasdijk,Eredivisie,84.7,0.871,-12.7,0.271,12.1,14.7,2.91,0.382,0.017,9.7,0.0462,0
FC Waldkirchen,Bundesliga,101.6,1.009,55.1,0.618,6.0,-1.08,4.88,0.201,0.17,5.8,0.275,0
Borussia Talheim,Bundesliga,88.4,0.912,10.7,0.298,43.6,5.38,4.39,0.325,0.995,9.1,0.0002,0
VV Polderkamp,Eredivisie,84.6,0.827,18.7,0.642,-4.6,12.41,3.8,0.676,0.249,7.3,0.3659,0
VV Polderkamp,Eredivisie,127.7,0.865,0.2,0.466,39.5,3.87,-0.07,0.338,0.02,5.0,0.3389,0
SC Eichberg,Bundesliga,117.8,0.85,16.1,0.664,7.3,-7.52,1.34,0.576,0.279,8.2,0.4219,0
RKC Zandvoort-Noord,Eredivisie,84.7,0.775,53.4,0.256,47.4,3.22,-0.77,0.454,0.408,6.9,0.0014,0
KAS Dendermonde-West,Belgian Pro League,160.3,0.84,24.2,0.535,6.9,-2.94,-2.1,0.354,0.548,6.1,0.025,0
VV Polderkamp,Eredivisie,125.8,0.762,-16.9,0.292,-4.6,-2.33,-4.58,0.696,0.069,7.8,0.3904,0
